System,Documents,Words,Total_Errors,Long_S_to_F,Long_S_to_F_Pct,Long_S_to_L,Long_S_to_L_Pct,Long_S_Total,Long_S_Total_Pct,Phantom_Letters,Phantom_Letters_Pct,Duplicated_Strokes,Duplicated_Strokes_Pct,Spurious_Punctuation,Spurious_Punctuation_Pct,Artifact_Total,Artifact_Total_Pct,Deletions,Deletions_Pct,Other_Substitutions,Other_Substitutions_Pct,Other_Insertions,Other_Insertions_Pct
OlmOCRv2,12,5499,1119,63,5.63,6,0.54,69,6.17,216,19.3,49,4.38,116,10.37,381,34.05,454,40.57,173,15.46,42,3.75
OlmOCRv1,12,5499,1088,67,6.16,4,0.37,71,6.53,90,8.27,16,1.47,136,12.5,242,22.24,529,48.62,186,17.1,60,5.51
Tesseract,12,5499,11519,487,4.23,19,0.16,506,4.39,2888,25.07,828,7.19,357,3.1,4073,35.36,4589,39.84,1018,8.84,1333,11.57
EasyOCR,12,5499,28296,174,0.61,108,0.38,282,1.0,7397,26.14,1938,6.85,646,2.28,9981,35.27,14275,50.45,1154,4.08,2604,9.2
Kraken,12,5499,3315,33,1.0,3,0.09,36,1.09,1061,32.01,166,5.01,47,1.42,1274,38.43,652,19.67,763,23.02,590,17.8
MinerU,12,5499,5280,431,8.16,24,0.45,455,8.62,1720,32.58,429,8.12,286,5.42,2435,46.12,1404,26.59,443,8.39,543,10.28
DeepSeek,12,5499,4889,525,10.74,8,0.16,533,10.9,724,14.81,172,3.52,248,5.07,1144,23.4,2571,52.59,341,6.97,300,6.14
Gemini,12,5499,1780,3,0.17,2,0.11,5,0.28,267,15.0,23,1.29,118,6.63,408,22.92,262,14.72,803,45.11,302,16.97
Transkribus,12,5499,8593,4,0.05,1,0.01,5,0.06,2415,28.1,813,9.46,275,3.2,3503,40.77,3955,46.03,110,1.28,1020,11.87
Chandra-Home,12,5499,1107,22,1.99,7,0.63,29,2.62,226,20.42,48,4.34,67,6.05,341,30.8,455,41.1,184,16.62,98,8.85
TOTAL/AVERAGE,120,54990,66986,1809,2.7,182,0.27,1991,2.97,17004,25.38,4482,6.69,2296,3.43,23782,35.5,29146,43.51,5175,7.73,6892,10.29
